PartNumber,Description,Area (ft^2),Price
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.02,20000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,5.69,5000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.9,1500
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.36,20000
NT3P64CA,Nortel RACK,10.22,13000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.8,3000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.56,1500
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.83,1000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.65,180000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.6,6000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.76,12000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,10.09,400
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,3.37,143000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,9.52,85000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.94,2000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,6.26,22000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.11,1000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.86,6000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.68,900
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.66,110000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.77,3000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.95,6000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.22,14000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,5.9,4000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,4.35,2000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,2.59,1000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.04,110000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,4.35,9000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.46,14000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,6.39,1000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,6.14,22000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,5.41,22000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,9.09,400
NT3P64CA,Nortel RACK,12.79,13000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.31,70000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,2.79,1000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.6,300
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.52,1200
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.43,1000
TN1640,Lucent Circuit Pack Memory Data Link Board,1.11,6000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.91,180000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.54,3000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.45,3000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.45,6000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,4.0,22000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,4.17,15000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,2.37,16000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.14,22000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,2.9,28000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.38,900
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,6.0,9000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,12.62,85000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.18,6000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.65,6000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.42,70000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.34,300
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.31,22000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,11.8,400
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.7,8000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.97,22000
NT3P64CA,Nortel RACK,9.42,13000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,5.97,5000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,3.45,5000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.56,110000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.26,18400
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,3.64,143000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,6.17,15000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.88,14000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.25,18400
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.93,6000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.09,12000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,14.91,10000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.96,70000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.36,6000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,3.36,700
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.8,12000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.57,8000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.02,4000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.58,300
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.46,3000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.43,70000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.83,1200
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,5.85,1000
C72383,Nokia MEMORY MODULE,1.37,4000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.16,110000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,2.72,1000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,3.78,143000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.67,8000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.11,1000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.19,143000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.81,1200
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,8.67,1000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.4,500
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,10.75,85000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,6.02,5000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.5,1500
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.28,110000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.53,180000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,4.0,180000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.77,150000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,14.51,400
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,4.59,2000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,12.16,2000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.64,1500
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.98,20000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.67,15000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.99,3000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.05,28000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,14.73,2000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.5,1300
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.03,6000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.8,1000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,5.17,9000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,4.82,2000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.21,1200
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.33,1200
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.88,1000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.07,18400
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.76,4000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.89,150000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.34,110000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.57,20000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.56,20000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,3.2,700
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,8.84,2000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.88,6000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,11.71,1000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.8,2000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,12.49,85000
NT3P64CA,Nortel RACK,12.36,13000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,4.25,2000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,4.94,2000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.28,22000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,7.46,22000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,2.11,16000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.79,2000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.28,1000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,3.58,5000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,6.25,900
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.48,1000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,5.63,5000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.49,6000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.06,3000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.36,8000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,4.51,2000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.14,180000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.5,8000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.82,110000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.59,6000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.2,1800
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.41,28000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.02,110000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.79,1700
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.24,180000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.7,6000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.93,1500
NT3P64CA,Nortel RACK,12.78,13000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.16,500
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,4.86,5000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,13.55,400
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,5.59,5000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.17,1500
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,2.69,2000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,2.86,2000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,5.15,5000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,5.57,1000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,6.05,2000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.61,1000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.64,300
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.96,20000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.02,1300
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.98,12000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.71,2000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.65,6000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.87,150000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,11.65,1000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.12,3000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.34,1700
C72383,Nokia MEMORY MODULE,1.22,4000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.12,20000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.44,300
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,4.48,15000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.56,2000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.76,300
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.04,1500
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,8.58,2000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.09,1000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.28,1000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,13.04,85000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.66,500
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.3,15000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,3.34,16000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.32,14000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,6.16,2000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,12.17,1000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.36,1800
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.58,28000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.78,6000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.08,500
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.63,500
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.82,12000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.62,14000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,3.01,5000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.6,6000
C72383,Nokia MEMORY MODULE,1.44,4000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.01,1000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,2.91,28000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,5.61,900
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,3.94,5000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,2.08,700
NT3P64CA,Nortel RACK,14.87,13000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,7.0,22000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.75,6000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.18,110000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,4.97,5000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.92,4000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,8.47,85000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.94,1300
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.68,15000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.86,70000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,9.17,1000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.66,8000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.24,22000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.2,3000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,4.04,1000
NT3P64CA,Nortel RACK,13.03,13000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.65,6000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.97,6000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.13,1000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,2.62,1000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,2.81,16000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,3.99,700
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.03,18400
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,3.72,5000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,2.43,28000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.64,150000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,3.97,700
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,3.23,143000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,4.23,9000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,12.85,85000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,4.49,5000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.63,300
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,6.1,9000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,4.9,1000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.03,1300
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.18,18400
TN1640,Lucent Circuit Pack Memory Data Link Board,1.14,6000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.67,180000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.63,12000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,5.48,1000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,6.66,15000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.1,22000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.71,1200
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.4,1000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.33,1700
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,6.19,5000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.59,1200
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.74,900
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.3,18400
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.7,22000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.65,12000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,8.45,1000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,6.03,900
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.17,2000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,11.96,10000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.54,6000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,10.94,1000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.49,6000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,5.46,900
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.0,500
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,9.71,10000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.86,1300
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.3,110000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.24,2000
TN1640,Lucent Circuit Pack Memory Data Link Board,1.37,6000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,7.85,2000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.05,22000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.97,180000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.22,2000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.97,1000
C72383,Nokia MEMORY MODULE,0.94,4000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.12,150000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.14,1800
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.71,70000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,4.24,1000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,13.81,10000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,5.01,2000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.02,22000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.67,1500
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.7,12000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,14.64,10000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.3,22000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,5.42,9000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.75,1700
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.67,300
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,7.96,1000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.77,1000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,9.11,1000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.5,12000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.44,14000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.06,1000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.29,180000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.76,1800
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.17,28000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.58,28000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.14,1700
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,2.1,3000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,3.3,16000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.21,8000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.45,900
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.02,1000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,13.09,400
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.67,300
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.4,20000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.1,1500
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.11,500
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,5.23,22000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,4.97,4000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,4.74,1000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.52,22000
NT3P64CA,Nortel RACK,9.59,13000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.54,1800
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.87,1000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.66,2000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,6.0,5000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,6.06,9000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,9.3,2000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,7.65,22000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.34,1200
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.35,110000
NT3P64CA,Nortel RACK,13.36,13000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,10.09,1000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.32,6000
